"gene","metric","n_patients","mean_low","mean_high","mean_effect_High_minus_Low","median_effect_High_minus_Low","CI95_low","CI95_high","paired_wilcox_p","paired_wilcox_FDR"
"SPP1","mean_expression",8,1.36718336454136,1.89588703556112,0.528703671019763,0.142998474942121,-0.0425206434524114,1.09992798549194,0.0299739735865559,0.0432380234618803
"MIF","mean_expression",8,1.12075706076154,1.50918711480598,0.388430054044444,0.246324722849458,0.00118623669492452,0.775673871393964,0.0299739735865559,0.0432380234618803
"PTGES","mean_expression",8,0.030948516806241,0.0393518881416201,0.00840337133537907,0.0032828437238246,-0.00611534352999795,0.0229220862007561,0.208412803684149,0.208412803684149
"SPP1","detection_rate",8,0.470980064057092,0.539565253043938,0.0685851889868457,0.0557838384753363,0.00859621094773078,0.128574167025961,0.0208625823327655,0.0432380234618803
"MIF","detection_rate",8,0.586746435330234,0.737542816224824,0.15079638089459,0.145397473923211,0.0473059431542365,0.254286818634943,0.0142661867014469,0.0432380234618803
"PTGES","detection_rate",8,0.0437555303518721,0.0638792399019134,0.0201237095500413,0.00282119560684609,-0.0150850493301821,0.0553324684302646,0.0360316862182336,0.0432380234618803
