model,term,coefficient,standard_error,hazard_ratio,CI95_low,CI95_high,p_value
primary_stable_binary_model,AFP_high,0.4341495270541133,0.22161812219903756,1.5436496682481013,0.9997860121212759,2.383364309355259,0.05011298459675787
primary_stable_binary_model,cirrhosis_yes,1.3097717272165925,0.7199605889806235,3.705327790175283,0.9036392143029292,15.193512870328673,0.0688768084441737
primary_stable_binary_model,multinodular_yes,0.2576962930970429,0.24951429752330342,1.2939457786777497,0.7934674634687582,2.110099979195797,0.30170139331474277
primary_stable_binary_model,score_z,0.32611559999838363,0.1169226834137949,1.3855755321444456,1.1018067711052575,1.742428532501694,0.0052845608977293715
with_size_stable_binary_model,AFP_high,0.3505740610398792,0.22863415826920802,1.4198824138546833,0.9070654642380681,2.22262466013662,0.12519193062586007
with_size_stable_binary_model,cirrhosis_yes,1.3035313072029175,0.7201979844359777,3.6822769866294047,0.8975999463089518,15.106021186852317,0.07030161071831295
with_size_stable_binary_model,size_large,0.46966898408018665,0.23452761252186485,1.5994646573150384,1.0100535105145008,2.5328234230845585,0.04521841361932671
with_size_stable_binary_model,multinodular_yes,0.1683434335661929,0.25305260963281107,1.1833429405562568,0.7206291943745811,1.9431637323264708,0.5058901374766979
with_size_stable_binary_model,score_z,0.28372861729231175,0.11627719735044151,1.3280724659412353,1.0574173768653847,1.6680040572245793,0.014682977195134894
